File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
fz_ws.l,15.624027%,4016,0,4016,0,0,0
route.o,11.539060%,2966,32,2934,0,32,0
stm32f1xx_hal_tim.o,7.819795%,2010,0,2010,0,0,0
stm32f1xx_hal_uart.o,6.722689%,1728,0,1728,0,0,0
stepping_motor.o,6.660442%,1712,44,1692,0,20,24
stm32f1xx_hal_rcc.o,4.909742%,1262,0,1244,18,0,0
c_w.l,3.890445%,1000,96,1000,0,0,96
mpu.o,3.415811%,878,2,876,0,2,0
daddsub_clz.o,3.127918%,804,0,804,0,0,0
ddiv.o,2.676626%,688,0,688,0,0,0
usart.o,2.458761%,632,288,632,0,0,288
stm32f1xx_hal_gpio.o,2.007470%,516,0,516,0,0,0
tim.o,1.898537%,488,144,488,0,0,144
faddsub_clz.o,1.750700%,450,0,450,0,0,0
stm32f1xx_hal_i2c.o,1.525054%,392,0,392,0,0,0
stm32f1xx_hal_dma.o,1.455027%,374,0,374,0,0,0
startup_stm32f103xe.o,1.431684%,368,1536,64,304,0,1536
gpio.o,1.431684%,368,0,368,0,0,0
dmul.o,1.322751%,340,0,340,0,0,0
fmul.o,1.003735%,258,0,258,0,0,0
pid.o,0.902583%,232,32,216,0,16,16
stm32f1xx_hal_cortex.o,0.770308%,198,0,198,0,0,0
gyro.o,0.762527%,196,35,188,0,8,27
_printf_intcommon.o,0.692499%,178,0,178,0,0,0
stm32f1xx_hal.o,0.684718%,176,12,164,0,12,0
i2c.o,0.684718%,176,84,176,0,0,84
stm32f1xx_it.o,0.622471%,160,0,160,0,0,0
dnaninf.o,0.606909%,156,0,156,0,0,0
main.o,0.599129%,154,0,154,0,0,0
qrread.o,0.575786%,148,36,122,0,26,10
fcmp4.o,0.552443%,142,0,142,0,0,0
fnaninf.o,0.544662%,140,0,140,0,0,0
stm32f1xx_hal_tim_ex.o,0.497977%,128,0,128,0,0,0
dleqf.o,0.466853%,120,0,120,0,0,0
_printf_dec.o,0.466853%,120,0,120,0,0,0
drleqf.o,0.420168%,108,0,108,0,0,0
fleqf.o,0.404606%,104,0,104,0,0,0
__printf.o,0.404606%,104,0,104,0,0,0
retnan.o,0.389044%,100,0,100,0,0,0
dfixu.o,0.350140%,90,0,90,0,0,0
fflt_clz.o,0.334578%,86,0,86,0,0,0
f2d.o,0.334578%,86,0,86,0,0,0
dflt_clz.o,0.326797%,84,0,84,0,0,0
toservo.o,0.326797%,84,0,84,0,0,0
_printf_str.o,0.319016%,82,0,82,0,0,0
m_ws.l,0.311236%,80,0,80,0,0,0
rt_memclr_w.o,0.303455%,78,0,78,0,0,0
scalbnf.o,0.295674%,76,0,76,0,0,0
redandhui.o,0.295674%,76,0,76,0,0,0
sys_stackheap_outer.o,0.287893%,74,0,74,0,0,0
stm32f1xx_hal_msp.o,0.233427%,60,0,60,0,0,0
ffix.o,0.210084%,54,0,54,0,0,0
__scatter.o,0.202303%,52,0,52,0,0,0
trapv.o,0.186741%,48,0,48,0,0,0
_printf_char_common.o,0.186741%,48,0,48,0,0,0
_printf_char.o,0.171180%,44,0,44,0,0,0
fminf.o,0.155618%,40,0,40,0,0,0
fmaxf.o,0.155618%,40,0,40,0,0,0
_printf_char_file.o,0.140056%,36,0,36,0,0,0
system_stm32f1xx.o,0.116713%,30,4,2,24,4,0
__scatter_zi.o,0.108932%,28,0,28,0,0,0
__scatter_copy.o,0.101152%,26,0,26,0,0,0
fcmpi.o,0.093371%,24,0,24,0,0,0
dcmpi.o,0.093371%,24,0,24,0,0,0
noretval__2printf.o,0.093371%,24,0,24,0,0,0
exit.o,0.070028%,18,0,18,0,0,0
fcheck1.o,0.046685%,12,0,12,0,0,0
dretinf.o,0.046685%,12,0,12,0,0,0
__rtentry2.o,0.046685%,12,0,12,0,0,0
fretinf.o,0.038904%,10,0,10,0,0,0
rtexit2.o,0.038904%,10,0,10,0,0,0
libspace.o,0.031124%,8,96,8,0,0,96
ferror.o,0.031124%,8,0,8,0,0,0
__main.o,0.031124%,8,0,8,0,0,0
heapauxi.o,0.023343%,6,0,6,0,0,0
_printf_s.o,0.023343%,6,0,6,0,0,0
_printf_d.o,0.023343%,6,0,6,0,0,0
__rtentry4.o,0.023343%,6,0,6,0,0,0
_printf_percent_end.o,0.015562%,4,0,4,0,0,0
use_no_semi_2.o,0.007781%,2,0,2,0,0,0
use_no_semi.o,0.007781%,2,0,2,0,0,0
rtexit.o,0.007781%,2,0,2,0,0,0
libshutdown2.o,0.007781%,2,0,2,0,0,0
libshutdown.o,0.007781%,2,0,2,0,0,0
libinit2.o,0.007781%,2,0,2,0,0,0
libinit.o,0.007781%,2,0,2,0,0,0
