File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_stm32f103xe.o,62.925030%,1536,368,64,304,0,1536
usart.o,11.798443%,288,632,632,0,0,288
tim.o,5.899221%,144,488,488,0,0,144
c_w.l,3.932814%,96,1000,1000,0,0,96
libspace.o,3.932814%,96,8,8,0,0,96
i2c.o,3.441213%,84,176,176,0,0,84
stepping_motor.o,1.802540%,44,1712,1692,0,20,24
qrread.o,1.474805%,36,148,122,0,26,10
gyro.o,1.433839%,35,196,188,0,8,27
route.o,1.310938%,32,2966,2934,0,32,0
pid.o,1.310938%,32,232,216,0,16,16
stm32f1xx_hal.o,0.491602%,12,176,164,0,12,0
system_stm32f1xx.o,0.163867%,4,30,2,24,4,0
mpu.o,0.081934%,2,878,876,0,2,0
